LName,BankCode,BankName,BankId,CityCode,CityName,ProvinceName,ProvinceCode
中国工商银行股份有限公司北京永顺潞苑支行,102100001282,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京张家湾支行,102100001320,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京灵境支行,102100001338,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京八角支行,102100001346,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京八大处支行,102100001354,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京古城支行,102100001442,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京香河园支行,102100001910,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京白云路支行,102100002003,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京金台路支行,102100002020,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京太平桥支行,102100002038,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京高井支行,102100002222,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京六铺炕支行,102100002239,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京石油大厦支行,102100002247,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京潘家园支行,102100002271,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京铁道支行,102100002335,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京天宁寺支行,102100002484,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京学院路支行,102100002556,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京马甸支行,102100002564,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京房山支行东风支行,102100002597,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京良乡支行,102100002644,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京良乡西潞支行,102100002652,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京房山支行二六六支行,102100002669,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京市分行房山支行政通路支行,102100004113,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中山街支行,102100004121,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京牛栏山支行,102100004130,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京会城门支行,102100004148,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京国贸大厦支行,102100004164,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京阜成路支行,102100004172,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京北辰路支行,102100004189,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京建国路支行,102100004197,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京黄楼支行,102100004201,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京大郊亭支行,102100004847,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京复外支行,102100004855,中国工商银行,102100099996,1000,北京市,北京市,11
